I,Q
0.33041,0.75113
-1.0921,0.871867
-0.914671,-0.994887
0.543059,0.384473
0.578562,-0.65274
0.741301,-0.895051
0.956404,0.797324
-0.42108,0.696172
-0.836562,0.589249
0.542468,0.043618
-1.14795,0.624401
-0.656141,-0.837287
-0.879185,0.56392
0.662484,-0.473229
-0.566822,-0.28281
0.580235,0.193703
-0.590435,0.623981
0.82191,0.43399
-0.684648,0.600713
-0.742324,0.575752
-0.716872,0.723777
-0.670782,0.84298
-0.909461,0.779313
0.7839,0.631165
0.699347,0.73826
-0.742253,-0.831518
-0.251903,0.703804
0.452016,-0.563058
0.793276,1.04448
-0.386597,-0.536922
0.749542,0.526288
-0.801253,-0.420198
-0.182711,-0.681238
-0.802148,0.762095
0.907665,-0.680091
1.00999,0.833665
0.93589,-0.536405
-0.64779,0.459516
-0.58146,-0.829233
0.485706,0.877544
-0.684174,-0.660468
-0.71045,0.566633
1.19598,-1.11152
-0.671624,0.82242
-0.801146,-0.65813
0.349459,-0.732131
-0.721652,0.561594
0.926623,0.881856
-0.846134,-0.574661
0.980693,1.0737
0.634123,0.924773
0.684417,0.520878
-0.516414,0.474177
0.507032,0.300966
0.539337,-0.707381
0.321901,-0.766727
-0.657895,-0.588281
0.276113,-0.100045
-0.905749,0.358225
0.479206,-0.886815
-0.784979,-0.896138
-0.818644,-0.846907
0.896506,-1.00206
0.855564,0.477025
0.527434,0.949507
-0.854423,0.654975
0.103415,0.724997
0.600327,-0.553262
-0.821352,0.30715
-1.01025,-0.603226
-0.837856,-0.598454
0.860556,-0.828318
-0.559264,0.539702
-0.691706,-0.357414
0.833904,-0.989825
-0.843211,-0.607713
0.534066,0.468574
0.746398,0.596445
0.994745,0.867118
-0.968976,0.82409
-0.753076,-0.641943
-0.927766,-0.601864
-0.400979,-0.803686
0.821258,-0.904804
0.782778,1.02076
0.526188,0.489068
0.846212,1.18443
0.831898,-0.988269
-0.657945,-0.917806
0.831125,0.730459
-0.60403,-0.539228
0.860365,0.525192
0.779304,-0.884948
0.61759,1.06179
0.929975,0.78199
0.520968,-0.560648
0.978736,-0.678723
-0.924964,0.583766
0.945324,-0.735709
-0.607896,1.08539
1.05452,-0.784103
0.514468,-0.963097
0.16647,-0.470478
-0.690913,-0.472756
-0.567251,-0.446933
-0.841026,-0.884741
-0.929241,0.748536
-0.603355,0.375526
0.870785,-0.5228
-0.932635,-0.561559
0.918837,-0.610871
-0.438084,-0.947891
-0.231682,0.47078
0.294548,0.862647
-0.486527,-0.539802
0.460089,0.791892
0.919242,0.808178
0.462231,-0.765349
-1.25068,-0.74293
-0.986742,0.791026
0.861134,0.617182
-1.1574,0.676214
0.710429,0.578673
-0.57691,-0.338322
-0.45024,-0.861421
